journal,items,total,blogs,facebook,news,policies,twitter,wikipedia
JOURNAL OF DERMATOLOGICAL TREATMENT,757,366,9,69,33,17,333,11
RESEARCH PAPERS IN EDUCATION,219,98,2,9,11,19,86,1
NATURAL LANGUAGE & LINGUISTIC THEORY,240,82,2,14,2,0,76,1
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,5803,2201,42,293,101,1,1993,23
AUSTRALASIAN JOURNAL OF DERMATOLOGY,625,258,8,59,32,14,228,7
AMERICAN JOURNAL OF ARCHAEOLOGY,125,37,5,3,3,0,27,6
PALEOCEANOGRAPHY,479,344,109,68,25,0,317,12
INFANT MENTAL HEALTH JOURNAL,376,302,8,188,10,20,290,1
MARINE CHEMISTRY,688,303,60,66,9,5,267,2
IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,714,191,9,25,7,1,180,7
ADVANCES IN PHYSICS-X,18,11,0,0,0,0,11,1
URBAN WATER JOURNAL,492,74,1,13,1,5,63,1
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,605,21,1,2,1,0,17,0
ALGEBRA AND LOGIC,299,5,0,0,0,0,5,0
HAUTARZT,874,131,3,21,3,3,114,0
AMPHIBIA-REPTILIA,341,105,11,51,9,3,67,16
IET POWER ELECTRONICS,1808,60,0,4,0,1,54,1
ZEITSCHRIFT FUR ORTHOPADIE UND UNFALLCHIRURGIE,470,135,4,78,6,5,65,1
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,3815,2060,77,106,47,40,1950,25
INTERNATIONAL JOURNAL OF ACAROLOGY,475,27,0,10,0,0,9,10
JOURNAL OF VISUALIZATION,399,12,1,1,0,0,12,0
AUSTRALIAN ECONOMIC REVIEW,297,126,11,3,17,49,87,2
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,606,359,42,40,44,6,346,12
JOURNAL OF MAGNETIC RESONANCE,1519,549,5,47,14,0,523,10
JOURNAL OF EMPIRICAL FINANCE,499,62,6,5,6,1,53,2
CELL REPORTS,5601,5530,1078,2092,1569,17,5508,241
PLASMA SCIENCE & TECHNOLOGY,1474,33,0,0,0,1,29,4
REVIEW OF ECONOMICS OF THE HOUSEHOLD,276,263,22,235,14,9,262,2
JOURNAL OF LITERARY SEMANTICS,60,7,0,0,0,0,5,2
JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,115,3,0,0,0,3,0,0
JOURNAL OF NERVOUS AND MENTAL DISEASE,1021,1018,52,770,52,33,970,19
INTERNATIONAL JOURNAL OF MATERIALS RESEARCH,1084,26,5,2,0,0,19,2
JOURNAL OF COMPETITION LAW & ECONOMICS,232,184,134,7,7,6,150,2
ACS APPLIED MATERIALS & INTERFACES,22654,4955,306,444,548,5,4424,102
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,406,64,3,9,1,0,52,3
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,368,71,5,9,19,6,44,4
AUSTRALIAN EDUCATIONAL RESEARCHER,223,176,11,110,17,23,170,0
COGNITIVE COMPUTATION,451,296,2,8,2,1,288,8
TROPICAL PLANT BIOLOGY,124,21,1,4,3,2,12,2
ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P PAVLOVA,360,0,0,0,0,0,0,0
VOJNOSANITETSKI PREGLED,1183,9,0,2,0,4,2,1
JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,765,52,0,0,0,0,52,1
IEEE NETWORK,436,49,1,4,2,1,42,2
STUDIES IN APPLIED MATHEMATICS,245,37,0,6,0,0,36,1
RENAISSANCE QUARTERLY,133,43,3,1,0,0,40,3
INSECT SYSTEMATICS & EVOLUTION,109,40,5,9,5,0,20,16
VASCULAR MEDICINE,372,291,10,47,20,9,284,4
REGULATION & GOVERNANCE,199,125,12,12,11,29,110,3
INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,98,77,4,13,2,0,76,1
JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL,4585,3089,71,330,15,0,2978,46
METHODOLOGY-EUROPEAN JOURNAL OF RESEARCH METHODS FOR THE BEHAVIORAL AND SOCIAL SCIENCES,106,24,0,2,0,0,24,0
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,343,99,3,13,3,2,92,0
SOCIETY,434,112,10,13,11,1,88,16
VIRCHOWS ARCHIV,1093,626,6,131,7,8,604,14
BALTIC JOURNAL OF ROAD AND BRIDGE ENGINEERING,270,4,0,0,0,0,3,2
ADVANCES IN ASTRONOMY,144,104,8,7,3,0,102,4
MUSICA HODIE,37,1,0,0,0,0,1,0
AMERICAN JOURNAL OF MANAGED CARE,2,0,0,0,0,0,0,0
GREENHOUSE GASES-SCIENCE AND TECHNOLOGY,377,40,10,10,4,1,31,0
JOURNAL OF PATHOLOGY,1081,871,33,194,50,8,847,39
AMERICAN JOURNAL OF PERINATOLOGY,1224,759,33,487,21,19,725,5
REVISTA DA ASSOCIACAO MEDICA BRASILEIRA,644,164,1,35,5,7,142,6
GENETIC RESOURCES AND CROP EVOLUTION,988,210,102,38,9,9,111,20
TRANSLATION AND LITERATURE,88,10,0,0,0,0,10,0
SENSOR LETTERS,697,34,0,0,0,1,34,0
INDUSTRIAL AND CORPORATE CHANGE,358,214,10,30,4,26,200,5
CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE,84,17,0,0,0,0,17,0
TISSUE ENGINEERING AND REGENERATIVE MEDICINE,455,26,0,3,0,0,21,2
NATURE REVIEWS CLINICAL ONCOLOGY,350,338,31,237,146,22,332,17
JOURNAL OF MOLECULAR MODELING,2785,273,10,24,10,3,235,10
REVIEW OF KEYNESIAN ECONOMICS,150,59,10,18,4,1,48,1
AJIDD-AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES,240,139,10,25,11,8,129,0
JOURNAL OF BONE AND MINERAL RESEARCH,1667,1280,90,634,205,37,1237,36
RESEARCH ON AGING,259,193,10,27,13,10,179,1
VEHICULAR COMMUNICATIONS,108,7,1,1,2,0,5,0
HEART & LUNG,580,299,8,40,8,14,277,5
DALTON TRANSACTIONS,13546,12687,54,256,170,4,12661,52
JAPANESE JOURNAL OF OPHTHALMOLOGY,515,156,2,31,1,8,128,0
MACROMOLECULAR MATERIALS AND ENGINEERING,1005,516,9,75,41,0,498,2
CHROMOSOMA,328,214,0,23,3,0,207,11
PROGRESS IN COMMUNITY HEALTH PARTNERSHIPS-RESEARCH EDUCATION AND ACTION,296,162,1,14,3,16,153,1
CIRCULATION-CARDIOVASCULAR QUALITY AND OUTCOMES,635,562,96,148,237,58,540,9
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,476,11,0,0,0,0,10,1
ROSSIISKAYA ARKHEOLOGIYA,22,0,0,0,0,0,0,0
PHILOSOPHY OF THE SOCIAL SCIENCES,196,96,8,19,2,0,88,2
DIABETES RESEARCH AND CLINICAL PRACTICE,2091,957,37,187,79,42,866,12
ACTA BOTANICA MEXICANA,74,3,0,3,0,0,2,0
JOURNAL OF PALAEOGEOGRAPHY-ENGLISH,92,24,18,0,1,0,15,5
INNOVATION-MANAGEMENT POLICY & PRACTICE,19,3,0,0,0,0,3,0
FEMALE PELVIC MEDICINE AND RECONSTRUCTIVE SURGERY,576,542,6,95,13,15,541,4
FRONTIERS IN CHEMISTRY,978,957,12,30,25,1,957,7
LITERATURE AND MEDICINE,87,26,1,1,2,0,26,0
TRANSLATIONAL CANCER RESEARCH,761,20,4,0,3,0,16,2
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,3160,2213,111,515,205,245,2010,59
JOURNAL OF VETERINARY MEDICAL EDUCATION,381,139,2,26,7,0,121,2
HEALTH CARE MANAGEMENT REVIEW,229,223,6,165,11,11,221,0
MELANOMA RESEARCH,567,345,11,19,11,12,326,4
SPANISH IN CONTEXT,113,3,0,0,0,0,2,1
JOURNAL OF FOOD BIOCHEMISTRY,778,70,3,21,7,0,46,7
JOURNAL OF EXPERIMENTAL BOTANY,3303,2571,140,422,100,13,2507,70
JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,73,63,3,20,1,1,60,2
NOTES AND RECORDS OF THE ROYAL SOCIETY,44,32,9,7,3,0,25,6
RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS,331,43,1,1,0,0,41,3
INTERNATIONAL JOURNAL OF PLANT SCIENCES,496,183,7,24,5,0,120,75
ANTHROPOLOGY SOUTHERN AFRICA,117,52,2,20,2,1,41,0
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,1264,35,1,9,1,0,24,3
EUROPEAN JOURNAL OF FOREST RESEARCH,640,110,3,24,7,2,90,2
ROYAL SOCIETY OPEN SCIENCE,2372,1680,518,567,553,19,1652,172
JOURNAL OF PLANT REGISTRATIONS,476,188,3,3,8,0,184,0
EARTHS FUTURE,318,314,193,264,114,44,314,17
CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,875,156,11,44,7,3,118,6
ATOMIC DATA AND NUCLEAR DATA TABLES,180,38,2,3,0,0,30,6
RADIOCARBON,790,119,13,37,10,1,87,16
OBESITY RESEARCH & CLINICAL PRACTICE,505,235,23,45,27,6,217,6
DESIGN STUDIES,228,86,2,6,3,5,78,3
MICROBIOLOGY,680,69,30,4,1,0,28,17
INTERNATIONAL MIGRATION,557,304,92,39,14,30,231,11
JOURNAL OF CHILDRENS ORTHOPAEDICS,100,19,0,2,0,0,18,0
ERGONOMICS,1003,697,22,83,42,22,673,14
INFANT BEHAVIOR & DEVELOPMENT,572,309,21,68,24,15,283,5
WORLD POLITICS,134,119,33,20,22,8,112,8
CLINICAL BIOCHEMISTRY,1817,752,15,80,27,12,698,17
THEORETICAL AND APPLIED CLIMATOLOGY,1878,527,220,152,18,29,425,6
REVISTA LATINO-AMERICANA DE ENFERMAGEM,938,208,1,46,5,10,175,3
AGRICULTURAL AND FOREST METEOROLOGY,1702,560,189,164,40,26,467,6
ATOMIC ENERGY,948,19,2,0,1,0,16,1
ZEITSCHRIFT FUR DIE NEUTESTAMENTLICHE WISSENSCHAFT UND DIE KUNDE DER ALTEREN KIRCHE,71,2,0,0,1,0,1,0
TRANSPORT,381,24,0,1,2,1,21,2
PHYSICIAN AND SPORTSMEDICINE,388,274,16,78,19,7,258,9
RESOURCE GEOLOGY,189,9,0,4,0,0,7,0
JOURNAL OF ENGINEERING MECHANICS,1185,48,0,9,2,0,35,5
PROGRESS IN HISTOCHEMISTRY AND CYTOCHEMISTRY,23,8,0,1,0,1,4,2
NATURE COMMUNICATIONS,21254,19412,6074,6161,8965,127,18424,1421
PROTEIN & CELL,506,216,26,29,23,2,195,20
JOURNAL OF THE KOREAN MATHEMATICAL SOCIETY,569,9,0,0,0,0,9,0
ISRAEL JOURNAL OF MATHEMATICS,1129,89,5,3,1,0,84,1
COMMUNICATION METHODS AND MEASURES,4,4,0,1,0,0,3,0
CANADIAN JOURNAL OF EARTH SCIENCES,590,496,26,455,12,3,386,71
PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING,235,0,0,0,0,0,0,0
KINETIC AND RELATED MODELS,286,24,0,2,1,0,23,0
JOURNAL OF THE AMERICAN ASSOCIATION OF NURSE PRACTITIONERS,492,335,10,51,24,8,323,6
INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,828,24,2,7,0,0,16,3
TISSUE ENGINEERING PART A,1452,853,53,106,57,0,812,4
JOURNAL OF EXOTIC PET MEDICINE,301,76,2,32,1,1,61,3
HORTTECHNOLOGY,784,50,2,7,17,0,38,1
ANNALES ZOOLOGICI,311,98,2,34,1,0,67,30
JOURNAL OF INORGANIC MATERIALS,1219,1,0,0,0,0,0,1
CLINICAL AND EXPERIMENTAL OPTOMETRY,615,264,3,100,13,8,232,11
PSYCHOLOGICAL MEDICINE,1793,1627,242,731,240,136,1577,60
GEOLOGICAL MAGAZINE,526,158,21,23,15,2,92,88
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,4899,281,10,37,11,5,243,6
GERIATRICS & GERONTOLOGY INTERNATIONAL,1287,571,18,111,76,23,493,4
RESPIRATORY CARE,1386,864,29,318,25,35,797,13
INFORMES DE LA CONSTRUCCION,426,25,0,9,1,1,19,0
CELL BIOLOGY INTERNATIONAL,1136,353,8,41,15,6,334,9
JOURNAL OF UROLOGY,3225,2541,151,1091,395,105,2388,45
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,125,32,6,1,2,0,21,8
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,1719,563,21,67,31,3,499,36
JOURNAL OF ROMAN STUDIES,71,31,1,4,3,0,29,3
JOURNAL OF PSYCHOACTIVE DRUGS,356,224,32,68,40,18,194,16
MINERVA UROLOGICA E NEFROLOGICA,135,30,0,0,0,0,30,1
JOURNAL OF TOXICOLOGIC PATHOLOGY,285,40,2,4,2,1,33,3
JOURNAL OF STUDIES IN INTERNATIONAL EDUCATION,190,174,8,18,12,9,171,1
TEACHING SOCIOLOGY,184,144,9,31,8,2,141,0
PSYCHOLOGY OF SPORT AND EXERCISE,768,562,36,88,65,12,540,8
PLANT BIOSYSTEMS,920,113,6,44,5,2,78,10
BIOGERONTOLOGY,381,242,24,92,20,1,219,4
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1795,1501,244,630,339,25,1449,32
NEPHRON EXPERIMENTAL NEPHROLOGY,87,22,0,2,1,0,20,1
ALGAE,184,9,4,0,1,0,1,4
NATURAL RESOURCES FORUM,142,52,12,11,4,11,34,2
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,1338,1188,156,488,168,93,1155,39
ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,628,226,66,39,43,15,168,29
TRENDS IN CANCER,195,194,47,55,17,1,194,3
INTERNATIONAL JOURNAL FOR EDUCATIONAL AND VOCATIONAL GUIDANCE,114,74,2,60,1,0,73,0
ARCHIVES OF DISEASE IN CHILDHOOD,1335,1255,227,679,162,127,1226,35
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,297,142,20,18,0,7,124,5
SPORT IN SOCIETY,121,49,0,6,3,0,46,1
PLASMID,320,132,6,9,1,0,124,3
INTERNATIONAL JOURNAL OF ORAL SCIENCE,249,103,10,22,4,0,86,5
DOCUMENTA OPHTHALMOLOGICA,323,139,0,29,2,0,132,3
EUROPEAN JOURNAL OF CANCER CARE,875,511,13,80,26,26,483,4
CARDIOVASCULAR DIABETOLOGY,1093,617,18,101,33,4,586,5
FRONTIERS-A JOURNAL OF WOMEN STUDIES,18,2,0,0,0,0,1,1
JOURNAL OF ARACHNOLOGY,249,86,17,11,11,0,67,16
JOURNAL OF AVIAN MEDICINE AND SURGERY,204,71,0,13,9,1,60,1
MINI-REVIEWS IN MEDICINAL CHEMISTRY,697,50,3,3,3,4,35,8
IEEE ELECTRON DEVICE LETTERS,3064,191,48,5,57,1,110,10
SOCIAL POLICY & ADMINISTRATION,372,218,61,16,11,24,184,1
CHEMICAL ENGINEERING JOURNAL,11084,739,28,71,61,11,606,15
JOURNAL OF RENAL NUTRITION,450,256,17,56,21,4,243,3
FOOD CONTROL,3913,774,54,124,68,50,617,17
PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS,992,33,2,1,0,0,30,1
INTERNAL MEDICINE JOURNAL,1414,698,27,107,96,49,622,14
BIBLICA,52,0,0,0,0,0,0,0
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,263,234,55,89,24,2,221,5
THEORETICAL POPULATION BIOLOGY,402,207,24,10,3,3,195,9
ARCHIVOS DE BRONCONEUMOLOGIA,431,246,2,43,5,0,237,1
ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,124,23,3,3,1,0,19,1
INTERNATIONAL JOURNAL OF AVIATION PSYCHOLOGY,79,13,1,4,3,0,11,1
EARTH-SCIENCE REVIEWS,918,492,90,110,69,20,425,59
FOOD BIOPHYSICS,310,15,0,3,2,0,11,2
GEOCHEMICAL TRANSACTIONS,72,43,6,1,3,0,42,2
RUSSIAN JOURNAL OF APPLIED CHEMISTRY,2135,5,0,0,1,1,1,2
SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,104,9,3,0,0,0,8,1
CIRCULATION-CARDIOVASCULAR INTERVENTIONS,709,463,24,88,90,18,422,5
FRENCH FORUM,129,5,0,1,0,0,4,0
BIOPHYSICAL CHEMISTRY,545,258,9,14,11,0,244,4
HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,406,11,0,0,1,0,10,0
LANDSLIDES,718,165,38,42,5,7,103,11
CURRENT OPINION IN LIPIDOLOGY,454,380,19,72,18,6,375,13
BONE & JOINT RESEARCH,385,369,5,40,10,1,369,3
HEMATOLOGICAL ONCOLOGY,430,304,2,17,7,15,286,6
MENTAL HEALTH AND PHYSICAL ACTIVITY,168,160,13,18,10,8,159,0
JOURNAL OF HOMELAND SECURITY AND EMERGENCY MANAGEMENT,188,40,4,4,8,1,31,2
IEEE SPECTRUM,380,84,0,8,6,1,74,4
IEEE MULTIMEDIA,159,19,0,3,1,0,16,0
JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH,472,366,57,181,47,2,342,9
JOURNAL OF MODERN ITALIAN STUDIES,229,48,6,7,3,0,38,4
ADVANCED MATERIALS,7729,3851,737,502,1587,10,2773,166
SOCIAL PSYCHOLOGY QUARTERLY,127,109,28,28,20,4,105,5
JOURNAL OF ADVANCED RESEARCH,58,20,0,1,2,0,18,1
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2817,2588,446,1625,1067,397,2458,128
FASHION PRACTICE-THE JOURNAL OF DESIGN CREATIVE PROCESS & THE FASHION INDUSTRY,96,19,0,0,1,0,17,4
BRAIN TOPOGRAPHY,447,223,4,28,6,0,209,6
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY-TAIWAN,672,2,1,0,0,0,0,1
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,411,116,11,4,8,19,92,4
FISH PATHOLOGY,131,1,0,0,0,1,0,0
CHEMOTHERAPY,337,108,1,9,3,3,105,0
AJAR-AFRICAN JOURNAL OF AIDS RESEARCH,262,166,33,25,7,3,152,6
LEARNING DISABILITIES RESEARCH & PRACTICE,128,58,1,19,1,4,55,0
METABOLIC ENGINEERING,792,426,16,50,35,5,399,16
SOCIAL SCIENCE & MEDICINE,3705,3109,794,1114,472,395,2910,94
PROCESS BIOCHEMISTRY,2119,144,2,23,2,3,109,12
INFORMATION COMMUNICATION & SOCIETY,602,524,88,83,74,47,516,43
EUROPEAN JOURNAL OF ENGLISH STUDIES,139,24,0,4,0,0,23,1
JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION,126,29,1,4,0,0,25,6
JOURNAL OF THE AMERICAN BOARD OF FAMILY MEDICINE,704,573,114,191,134,34,504,18
JOURNAL OF RESEARCH IN READING,225,154,3,46,12,3,149,0
JOURNAL OF CATALYSIS,2282,436,15,43,22,3,400,6
JOURNAL OF ECONOMIC GEOGRAPHY,318,177,24,27,16,26,153,7
ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,508,83,2,1,5,4,76,2
COMPARATIVE LITERATURE,167,34,3,5,0,0,30,1
JOHNSON MATTHEY TECHNOLOGY REVIEW,130,5,0,1,0,1,0,3
JOURNAL OF COMPARATIVE EFFECTIVENESS RESEARCH,403,300,13,13,10,16,289,3
ADMINISTRATIVE SCIENCE QUARTERLY,141,140,81,108,49,3,140,7
JOURNAL OF ACADEMIC LIBRARIANSHIP,526,394,59,51,3,26,373,6
CLINICS IN SPORTS MEDICINE,334,157,8,36,6,0,143,9
NEUROSURGICAL FOCUS,1101,565,18,275,51,3,495,30
QUADERNI URBINATI DI CULTURA CLASSICA,43,0,0,0,0,0,0,0
ARCHIVES ANIMAL BREEDING,172,2,0,0,0,0,1,1
AUSTRALASIAN JOURNAL OF EARLY CHILDHOOD,340,5,1,0,1,3,0,0
JOURNAL OF HYDROMETEOROLOGY,1024,297,26,13,28,35,259,4
TRANSPLANTATION PROCEEDINGS,5016,1048,25,108,10,45,966,12
JOURNAL OF OPTICS,2515,520,24,118,29,0,451,11
MULTILINGUA-JOURNAL OF CROSS-CULTURAL AND INTERLANGUAGE COMMUNICATION,178,33,18,2,3,0,10,4
METALLURGIA ITALIANA,1,0,0,0,0,0,0,0
PROCEEDINGS OF THE ESTONIAN ACADEMY OF SCIENCES,316,3,0,0,0,0,2,1
FOREST PRODUCTS JOURNAL,289,7,0,0,4,0,3,0
ECOLOGY AND SOCIETY,1294,621,77,157,57,155,381,22
ZEITSCHRIFT DER DEUTSCHEN MORGENLANDISCHEN GESELLSCHAFT,22,1,0,0,0,0,1,0
POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT,334,165,2,6,6,9,152,1
DISTRIBUTED COMPUTING,161,10,0,0,0,0,9,1
JOURNAL OF HYPERBOLIC DIFFERENTIAL EQUATIONS,173,21,0,1,0,0,21,0
COPEIA,543,387,41,108,21,3,360,40
COMPUTER AIDED SURGERY,76,9,1,0,2,0,7,0
ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,1407,546,14,83,7,14,516,6
TEXAS STUDIES IN LITERATURE AND LANGUAGE,143,2,0,0,0,0,2,0
LEGACY,29,1,0,0,0,0,1,0
RLC-REVUE DE LITTERATURE COMPAREE,4,0,0,0,0,0,0,0
JOURNAL OF COMBUSTION,12,0,0,0,0,0,0,0
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,201,64,14,7,4,12,47,0
CROSS CULTURAL MANAGEMENT-AN INTERNATIONAL JOURNAL,103,33,0,4,1,2,28,1
MICROSYSTEMS & NANOENGINEERING,58,53,9,7,15,0,50,4
AMBIX,106,42,4,14,6,0,31,2
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,1144,73,4,5,5,6,54,7
OPTICAL SWITCHING AND NETWORKING,289,8,0,2,0,0,6,1
JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION,1608,5,0,1,0,0,4,0
JOURNAL OF RAPTOR RESEARCH,240,204,25,127,5,1,195,10
Annual Review of Statistics and Its Application,97,81,18,14,6,7,78,6
BRUNIANA & CAMPANELLIANA,38,1,1,0,0,0,0,0
JOURNAL OF ONCOLOGY PRACTICE,169,155,6,22,44,2,154,0
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,2643,1262,25,225,139,32,1163,6
ENGLISH STUDIES IN AFRICA,110,24,0,3,0,0,24,0
JOURNAL OF LIGHTWAVE TECHNOLOGY,4241,267,4,12,12,0,244,12
SURGICAL PRACTICE,110,14,3,1,0,0,10,0
DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,774,650,64,85,23,2,635,35
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,709,84,0,12,3,0,72,2
CONFLICT AND HEALTH,141,136,59,40,54,7,127,5
MUSEON,81,0,0,0,0,0,0,0
ACOUSTICS AUSTRALIA,126,29,2,14,4,4,24,2
CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,217,15,0,0,0,0,13,2
FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING,373,13,0,2,1,1,10,0
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,5576,173,24,31,28,1,132,7
ARCHIVES OF MINING SCIENCES,504,0,0,0,0,0,0,0
FRONTIERS IN ENDOCRINOLOGY,1622,1599,56,187,79,0,1595,34
PEDIATRICS,4672,4349,1387,2713,2164,466,4176,234
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,1198,1141,234,620,178,11,1118,44
JOURNAL OF RESEARCH IN PERSONALITY,599,422,68,58,91,3,400,13
VIROLOGY,2555,1361,218,142,59,19,1219,73
ANTIVIRAL RESEARCH,1461,764,45,94,51,34,700,39
JOURNAL OF INHERITED METABOLIC DISEASE,692,369,17,51,10,4,334,31
TEMPO-NITEROI,168,13,1,5,0,0,9,1
BOTHALIA,137,48,6,25,4,0,46,2
ORIENTAL INSECTS,186,20,0,4,0,1,6,9
INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,762,28,2,10,1,0,21,1
INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,2616,125,4,11,8,1,109,8
GEOTEXTILES AND GEOMEMBRANES,453,18,0,4,0,0,16,0
POLAR RESEARCH,285,229,10,191,16,1,217,6
CANADIAN JOURNAL OF REMOTE SENSING,300,67,2,10,4,1,62,0
JOURNAL OF NATURAL GAS CHEMISTRY,108,0,0,0,0,0,0,0
ARTHROPOD-PLANT INTERACTIONS,465,126,11,19,6,0,110,6
EARLY CHILDHOOD EDUCATION JOURNAL,275,203,2,124,5,13,194,1
IMAGE ANALYSIS & STEREOLOGY,126,2,0,0,0,0,1,1
ANNALI DI BOTANICA,16,0,0,0,0,0,0,0
MEDICAL CARE RESEARCH AND REVIEW,255,203,60,24,36,17,189,3
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,525,64,1,1,2,1,54,5
IMMUNO-ANALYSE & BIOLOGIE SPECIALISEE,109,6,0,6,0,0,0,0
BIG DATA,112,107,10,27,29,6,107,3
IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,331,177,13,37,7,1,160,15
NEW POLITICAL ECONOMY,278,197,28,39,15,8,178,2
REVISTA DE LA REAL ACADEMIA DE CIENCIAS EXACTAS FISICAS Y NATURALES SERIE A-MATEMATICAS,417,34,0,1,0,0,33,0
JOURNAL OF VISION,1787,916,40,151,45,0,859,19
PETROLOGY,229,7,1,2,0,0,6,1
REVISTA BRASILEIRA DE HISTORIA,185,55,5,13,2,0,45,0
IEEE SYSTEMS JOURNAL,1180,139,3,8,3,1,128,7
PEDIATRICS AND NEONATOLOGY,545,180,8,32,5,11,156,3
FIBERS AND POLYMERS,2067,24,0,5,1,0,19,0
TURKISH JOURNAL OF BIOLOGY,667,5,0,0,0,0,5,0
HISTORY OF ECONOMIC IDEAS,56,1,0,0,0,0,1,0
CLINICAL RESEARCH IN CARDIOLOGY,728,250,12,30,20,21,221,2
EUROPEAN JOURNAL OF SOCIAL THEORY,199,156,6,36,3,3,151,5
BIOINFORMATICS,5317,4982,645,737,521,13,4951,299
APPLIED PHYSIOLOGY NUTRITION AND METABOLISM,1204,1046,127,724,131,12,936,5
GEOLOGICA BELGICA,43,23,0,2,1,0,17,6
DEAD SEA DISCOVERIES,22,6,0,0,0,0,6,0
CURRENT DRUG TARGETS,966,145,3,16,18,2,121,5
POLITICS,209,205,101,36,14,4,200,8
CURRENT ALLERGY AND ASTHMA REPORTS,574,416,26,73,32,22,393,35
TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI,512,3,0,0,0,1,2,0
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,184,7,0,2,1,0,5,0
GLYCOBIOLOGY,782,420,7,78,75,3,370,19
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,515,399,33,113,26,21,353,9
OCEAN MODELLING,665,492,68,21,5,18,456,7
ANNALI DELL ISTITUTO SUPERIORE DI SANITA,353,81,2,7,5,3,73,2
